Player,Team,Opponent,Game Date,Prop,Sportsbook Line,Model Mean,Distribution Method,P(Over),P(Under),P(Push),Best Over Odds,Best Under Odds,Market No-Vig P(Over),Median Over Odds,Median Under Odds,Books Quoting,Model Minus Market,Quote Age,Quote Timestamp,Confidence / Data Quality Flag
Andrei Iosivas,CIN,HOU,2026-09-20,receptions,1.5,2.4550341584806286,negative_binomial,0.5143731723906554,0.4856268276093447,0.0,-102,-130,,-101.99999999999999,-130.0,1,,0.07620963333333333,2026-09-17T19:44:05+00:00,INSUFFICIENT_MARKET
David Montgomery,HOU,CIN,2026-09-20,receptions,1.5,3.230958728991521,negative_binomial,0.5950240335383269,0.4049759664616731,0.0,-166,124,,-166.00000000000003,124.00000000000003,1,,0.07620963333333333,2026-09-17T19:44:05+00:00,INSUFFICIENT_MARKET|TEAM_CHANGE
Chase Brown,CIN,HOU,2026-09-20,receptions,3.5,3.9339532652254485,negative_binomial,0.4106905485977459,0.5893094514022541,0.0,-108,-122,,-107.99999999999999,-122.0,1,,0.07620963333333333,2026-09-17T19:44:05+00:00,INSUFFICIENT_MARKET
Woody Marks,HOU,CIN,2026-09-20,receptions,1.5,,negative_binomial,,,,112,-148,,112.00000000000001,-148.0,1,,0.07620963333333333,2026-09-17T19:44:05+00:00,INSUFFICIENT_MARKET|LOW_HISTORY
Harold Fannin Jr.,CLE,TB,2026-09-20,receptions,4.5,,negative_binomial,,,,130,-162,0.4140989707009037,127.49999999999999,-164.49848024316108,4,,1.2428762999999998,2026-09-17T19:42:55+00:00,LOW_HISTORY
Emeka Egbuka,TB,CLE,2026-09-20,receptions,3.5,,negative_binomial,,,,-147,115,0.5617434061088693,-148.48484848484853,114.49999999999996,4,,1.2428762999999998,2026-09-17T19:44:04+00:00,LOW_HISTORY
KC Concepcion,CLE,TB,2026-09-20,receptions,3.5,,negative_binomial,,,,123,-156,0.4260237780713342,120.00000000000001,-158.0,5,,1.2428762999999998,2026-09-17T19:43:11+00:00,LOW_HISTORY
Denzel Boston,CLE,TB,2026-09-20,receptions,2.5,,negative_binomial,,,,-115,100,0.5238589211618258,-125.0,-101.99999999999999,5,,1.2428762999999998,2026-09-17T19:43:39+00:00,LOW_HISTORY
Bucky Irving,TB,CLE,2026-09-20,rushing_attempts,14.5,14.545306119435768,negative_binomial,0.26719921435813815,0.7328007856418619,0.0,-117,-109,,-116.99999999999999,-109.0,1,,0.9762096333333333,2026-09-17T19:43:11+00:00,INSUFFICIENT_MARKET
Quinshon Judkins,CLE,TB,2026-09-20,rushing_attempts,14.5,,negative_binomial,,,,101,-129,,100.99999999999997,-129.0,1,,0.9762096333333333,2026-09-17T19:43:11+00:00,INSUFFICIENT_MARKET|LOW_HISTORY
Harold Fannin Jr.,CLE,TB,2026-09-20,receptions,3.5,,negative_binomial,,,,-155,115,,-155.00000000000003,114.99999999999999,1,,0.5095429666666667,2026-09-17T19:43:39+00:00,INSUFFICIENT_MARKET|LOW_HISTORY
Matthew Golden,GB,NYJ,2026-09-20,receptions,3.5,,negative_binomial,,,,-152,124,0.5687832924663905,-155.00000000000003,117.0,5,,1.8095429666666665,2026-09-17T19:44:04+00:00,LOW_HISTORY
Kenyon Sadiq,NYJ,GB,2026-09-20,receptions,2.5,,negative_binomial,,,,-106,-118,0.4887791741472173,-108.99082568807339,-119.99999999999999,4,,1.8095429666666665,2026-09-17T19:44:00+00:00,LOW_HISTORY
Mason Taylor,NYJ,GB,2026-09-20,receptions,2.5,,negative_binomial,,,,103,-112,0.47791164658634533,-103.4782608695652,-125.0,4,,1.8095429666666665,2026-09-17T19:44:04+00:00,LOW_HISTORY
Breece Hall,NYJ,GB,2026-09-20,rushing_attempts,15.5,12.21300442490883,negative_binomial,0.22796998637106208,0.772030013628938,0.0,-129,101,,-129.0,100.99999999999997,1,,0.15954296666666667,2026-09-17T19:44:00+00:00,INSUFFICIENT_MARKET
