event_id,game,player,sportsbook,american_odds,quote_time,snapshot_time,prediction_time
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Ben Skowronek,fanduel,2200,2026-09-13T15:55:09+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Cooper Rush,fanduel,2700,2026-09-13T15:55:09+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Chris Blair,fanduel,3300,2026-09-13T15:55:09+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Charlie Woerner,fanduel,4000,2026-09-13T15:55:09+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Bijan Robinson,williamhill_us,-122,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Jaylen Warren,williamhill_us,120,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Rico Dowdle,williamhill_us,125,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,DK Metcalf,williamhill_us,184,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Michael Pittman Jr.,williamhill_us,215,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Drake London,williamhill_us,265,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Pat Freiermuth,williamhill_us,350,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Kyle Pitts,williamhill_us,375,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Brian Robinson Jr.,williamhill_us,500,2026-09-13T15:55:30+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
